Name,Age,GPA,Credits Completed,Year,Pathway
John  Smith,14,3.37,17,Victory Lap,Business
Timmy  Moore,19,1.42,45,Junior,Early Child Education
John  Rodrigues,15,1.15,1,Junior,Marketing
Ben  Wilson,14,4.47,29,Senior,Early Child Education
Marge  Jones,14,4.04,57,Sophmore,Early College
James  Davis,19,4.27,48,Junior,Construction
Mark  Jones,16,3.44,52,Sophmore,Computer Science
Steven  Davis,14,1.04,3,Sophmore,Culinary
Marge  Moore,15,0.91,7,Sophmore,Engineering
Eli  Miller,17,3.88,10,Freshman,Construction
Marge  Rodrigues,16,1.51,41,Victory Lap,Bio Med
Jimmy  Jones,16,4.49,53,Senior,Computer Science
Joe  Johnson,16,2.67,44,Sophmore,Early College
Steven  Miller,14,3.8,35,Sophmore,Construction
Joe  Rodrigues,15,2.33,11,Junior,Construction
Jimmy  Smith,15,3.15,15,Freshman,Early Child Education
Conner  Williams,18,3.29,1,Victory Lap,Early College
Mark  Miller,16,1.09,59,Junior,Computer Science
Lisa  Wilson,14,2.97,0,Freshman,Culinary
Lisa  Moore,14,3.08,4,Sophmore,Marketing
James  Jones,16,1.89,19,Sophmore,Culinary
Ben  Davis,14,0.64,7,Victory Lap,Culinary
Timmy  Jones,19,2.25,52,Junior,Early Child Education
Steven  Jones,18,3.27,28,Victory Lap,Marketing
Andy  Miller,18,1.48,39,Senior,Computer Science
Mark  Davis,16,2.75,36,Senior,Bio Med
John  Jones,18,3.63,17,Freshman,Construction
Ben  Brown,17,2.29,41,Sophmore,Bio Med
Steven  Davis,19,4.09,16,Victory Lap,Early Child Education
Ben  Williams,14,4.01,15,Senior,Computer Science
Lisa  Brown,15,2.13,11,Freshman,Engineering
Eli  Jones,15,1.98,30,Senior,Early Child Education
Mark  Williams,18,2.3,55,Victory Lap,Construction
Ben  Williams,15,1.31,38,Victory Lap,Business
Andy  Jones,17,1.24,31,Victory Lap,Early College
Billy  Moore,17,0.35,40,Junior,Early College
Timmy  Jones,18,3.07,10,Senior,Early College
John  Miller,17,4.26,33,Sophmore,Construction
Billy  Johnson,14,0.41,34,Victory Lap,Early College
Andy  Brown,16,0.31,19,Victory Lap,Bio Med
Andy  Rodrigues,18,2.13,34,Senior,Business
Ben  Wilson,16,2.23,25,Freshman,Early Child Education
Marge  Miller,19,4.25,28,Senior,Bio Med
John  Miller,15,2.54,23,Victory Lap,Computer Science
Billy  Johnson,19,4.15,52,Sophmore,Culinary
Joe  Rodrigues,14,2.36,7,Junior,Early College
Conner  Jones,17,2.69,53,Senior,Marketing
Mark  Rodrigues,19,2.98,22,Junior,Marketing
Conner  Johnson,14,2.29,16,Victory Lap,Early Child Education
Calvin  Brown,16,0.63,34,Junior,Construction
Billy  Moore,15,3.03,1,Senior,Marketing
John  Moore,18,0.43,30,Senior,Construction
Marge  Davis,14,3.22,3,Senior,Business
Timmy  Jones,18,0.5,29,Freshman,Early College
Steven  Brown,16,4.48,35,Freshman,Engineering
James  Davis,18,1.68,56,Junior,Computer Science
Ben  Davis,17,2.32,26,Senior,Marketing
James  Wilson,19,2.89,4,Junior,Bio Med
Lisa  Moore,18,2.97,45,Sophmore,Culinary
Conner  Rodrigues,19,0.51,19,Sophmore,Early Child Education
Eli  Brown,18,3.85,38,Junior,Marketing
Eli  Smith,17,1.78,21,Victory Lap,Criminal Justice
Timmy  Rodrigues,18,1.68,35,Senior,Early College
Lisa  Jones,17,3.26,3,Freshman,Culinary
Timmy  Jones,14,4.34,29,Junior,Early Child Education
Mark  Rodrigues,16,2.47,55,Junior,Early Child Education
Lisa  Wilson,19,2.68,14,Junior,Construction
John  Smith,17,4.21,6,Senior,Marketing
Calvin  Rodrigues,15,4.22,39,Sophmore,Construction
Marge  Moore,18,2.93,48,Sophmore,Bio Med
John  Jones,19,0.9,49,Victory Lap,Marketing
Eli  Jones,18,1.36,32,Junior,Business
Jimmy  Jones,14,2.97,42,Senior,Criminal Justice
James  Jones,18,2.79,19,Junior,Early Child Education
Calvin  Moore,16,0.34,55,Freshman,Computer Science
Conner  Williams,17,0.32,20,Senior,Early Child Education
Steven  Wilson,14,3.97,27,Senior,Construction
Calvin  Williams,19,0.43,51,Victory Lap,Computer Science
Ben  Jones,15,0.8,20,Senior,Early College
Jimmy  Rodrigues,16,2.47,41,Senior,Early College
Marge  Jones,18,3.19,27,Victory Lap,Early College
Ben  Moore,16,0.85,2,Junior,Business
Ben  Jones,16,2.05,8,Freshman,Business
Ben  Rodrigues,19,1.2,30,Senior,Construction
Ben  Davis,19,1.28,23,Victory Lap,Computer Science
Andy  Jones,18,4.31,31,Senior,Early Child Education
Ben  Wilson,18,2.75,39,Sophmore,Marketing
Billy  Davis,14,2.51,54,Junior,Business
John  Moore,14,3.5,54,Victory Lap,Early Child Education
Lisa  Williams,15,1.15,49,Senior,Engineering
Ben  Brown,15,1.8,35,Sophmore,Culinary
Ben  Jones,14,2.9,43,Senior,Construction
Joe  Williams,16,2.01,13,Senior,Marketing
Steven  Johnson,16,0.56,15,Senior,Business
Ben  Moore,15,3.5,47,Freshman,Engineering
Timmy  Smith,14,0.72,59,Senior,Bio Med
Mark  Wilson,15,3.86,32,Victory Lap,Early College
Joe  Smith,16,4.26,58,Freshman,Early College
Jimmy  Johnson,19,1.59,51,Senior,Early College
Timmy  Davis,15,0.72,51,Senior,Culinary
Joe  Johnson,17,4.34,41,Victory Lap,Culinary
Marge  Jones,19,0.47,34,Senior,Early Child Education
Billy  Jones,16,3.09,59,Sophmore,Culinary
Conner  Jones,19,0.47,13,Victory Lap,Engineering
James  Miller,16,0.44,58,Junior,Bio Med
John  Wilson,15,1.18,4,Junior,Bio Med
Steven  Williams,17,3.09,12,Freshman,Culinary
James  Davis,14,1.99,14,Freshman,Culinary
Ben  Williams,15,1.73,20,Sophmore,Construction
Conner  Williams,19,2.0,18,Senior,Early College
Steven  Jones,19,0.4,15,Victory Lap,Business
Ben  Rodrigues,17,3.43,4,Junior,Culinary
Lisa  Davis,19,0.4,47,Senior,Construction
James  Williams,17,3.54,43,Victory Lap,Engineering
James  Wilson,17,4.31,10,Senior,Early Child Education
Joe  Miller,17,0.89,34,Sophmore,Early Child Education
John  Williams,18,3.84,31,Sophmore,Construction
Calvin  Rodrigues,16,1.87,43,Junior,Early College
Marge  Davis,14,0.4,4,Junior,Business
John  Smith,18,4.45,17,Junior,Culinary
Marge  Miller,16,1.36,48,Sophmore,Bio Med
Eli  Williams,18,4.37,1,Victory Lap,Marketing
Timmy  Rodrigues,18,3.13,34,Sophmore,Engineering
Timmy  Miller,17,2.14,30,Sophmore,Computer Science
Lisa  Rodrigues,15,2.17,29,Freshman,Business
John  Miller,17,1.86,25,Sophmore,Engineering
Calvin  Wilson,17,0.31,54,Junior,Early Child Education
Jimmy  Rodrigues,17,0.84,29,Freshman,Construction
Eli  Wilson,14,2.24,18,Senior,Construction
Joe  Rodrigues,17,3.95,8,Victory Lap,Early College
Timmy  Brown,15,2.08,16,Victory Lap,Early Child Education
Ben  Moore,14,1.11,36,Victory Lap,Early College
Joe  Rodrigues,19,0.33,1,Freshman,Bio Med
Jimmy  Moore,19,4.35,24,Senior,Business
John  Williams,15,2.13,59,Victory Lap,Early Child Education
James  Rodrigues,17,1.0,48,Senior,Engineering
Timmy  Johnson,15,3.99,49,Junior,Criminal Justice
Jimmy  Jones,16,2.32,25,Freshman,Criminal Justice
Jimmy  Davis,14,3.24,50,Freshman,Early Child Education
Eli  Miller,15,2.99,20,Senior,Bio Med
Ben  Johnson,18,0.35,16,Victory Lap,Construction
Marge  Davis,16,4.38,6,Sophmore,Early Child Education
Andy  Williams,16,1.06,28,Freshman,Engineering
Mark  Miller,14,4.0,2,Victory Lap,Early College
Timmy  Moore,16,2.31,0,Sophmore,Engineering
Lisa  Williams,17,4.05,42,Senior,Culinary
Jimmy  Miller,19,4.2,45,Sophmore,Culinary
James  Johnson,17,3.08,16,Victory Lap,Computer Science
James  Jones,16,3.54,43,Junior,Engineering
Ben  Miller,17,1.1,20,Sophmore,Early Child Education
John  Davis,19,1.87,49,Victory Lap,Culinary
Billy  Rodrigues,16,1.48,23,Senior,Business
Calvin  Rodrigues,19,1.6,28,Sophmore,Criminal Justice
Ben  Wilson,14,0.72,51,Victory Lap,Construction
Jimmy  Wilson,16,4.17,38,Freshman,Business
Andy  Rodrigues,19,2.43,13,Victory Lap,Construction
Andy  Williams,15,3.99,45,Freshman,Computer Science
Jimmy  Miller,19,0.54,12,Victory Lap,Culinary
Lisa  Jones,14,2.89,39,Freshman,Early Child Education
Eli  Moore,16,2.39,0,Junior,Business
Jimmy  Johnson,17,4.07,1,Junior,Construction
Eli  Miller,17,3.59,12,Victory Lap,Business
Lisa  Jones,16,0.77,8,Senior,Business
Eli  Moore,17,1.24,22,Sophmore,Business
Calvin  Johnson,14,1.39,7,Senior,Criminal Justice
Eli  Jones,19,2.57,42,Freshman,Bio Med
Mark  Brown,16,3.0,12,Junior,Culinary
Andy  Smith,16,1.09,8,Freshman,Bio Med
John  Davis,19,3.53,35,Senior,Marketing
Joe  Wilson,16,0.96,24,Victory Lap,Computer Science
Billy  Davis,18,3.89,17,Senior,Engineering
Andy  Williams,17,0.72,53,Freshman,Early College
Billy  Smith,16,0.39,39,Sophmore,Marketing
Conner  Smith,19,3.09,6,Junior,Business
Calvin  Miller,18,3.64,23,Sophmore,Marketing
Timmy  Smith,14,1.75,34,Freshman,Culinary
Mark  Moore,17,1.52,20,Freshman,Computer Science
Ben  Brown,18,4.36,29,Senior,Bio Med
Mark  Moore,14,2.39,53,Sophmore,Engineering
Andy  Johnson,19,1.41,19,Junior,Construction
Joe  Jones,14,2.28,27,Senior,Early Child Education
Ben  Jones,18,4.44,40,Junior,Culinary
Conner  Smith,16,3.3,24,Sophmore,Bio Med
James  Jones,14,3.04,54,Victory Lap,Engineering
James  Wilson,15,0.74,26,Freshman,Construction
Ben  Brown,16,3.37,14,Junior,Business
Eli  Brown,16,0.67,24,Victory Lap,Early College
Marge  Smith,16,2.37,32,Freshman,Bio Med
Andy  Wilson,15,4.26,57,Sophmore,Early Child Education
Jimmy  Johnson,16,2.8,41,Junior,Culinary
Ben  Jones,15,2.46,32,Victory Lap,Computer Science
Ben  Moore,15,2.87,49,Senior,Early College
Calvin  Wilson,17,3.55,34,Sophmore,Criminal Justice
Andy  Davis,18,3.23,52,Senior,Culinary
Eli  Brown,17,2.92,15,Sophmore,Culinary
Ben  Davis,16,1.62,15,Junior,Construction
Lisa  Johnson,17,0.87,22,Freshman,Culinary
Ben  Williams,19,2.0,15,Freshman,Marketing
Joe  Jones,18,1.54,31,Victory Lap,Business
Joe  Brown,19,0.42,52,Senior,Computer Science
James  Miller,14,1.51,52,Senior,Culinary
Lisa  Rodrigues,17,3.08,46,Sophmore,Computer Science
John  Miller,16,2.6,15,Freshman,Early Child Education
Ben  Brown,19,0.62,16,Junior,Early College
James  Johnson,19,2.87,53,Victory Lap,Engineering
James  Brown,17,0.79,23,Junior,Culinary
Joe  Miller,17,1.0,47,Junior,Bio Med
Marge  Jones,18,2.81,53,Senior,Criminal Justice
James  Miller,14,0.72,15,Senior,Business
Calvin  Davis,19,1.21,5,Junior,Criminal Justice
Conner  Jones,17,2.43,21,Sophmore,Bio Med
James  Williams,14,4.39,36,Sophmore,Construction
Ben  Wilson,16,4.21,34,Senior,Bio Med
Marge  Johnson,16,0.51,54,Freshman,Early Child Education
John  Jones,16,3.98,31,Senior,Construction
Mark  Jones,14,1.36,59,Victory Lap,Business
Ben  Wilson,15,1.37,14,Sophmore,Early Child Education
Ben  Jones,18,2.7,8,Sophmore,Marketing
Billy  Brown,19,3.52,18,Victory Lap,Bio Med
Eli  Johnson,16,4.5,41,Junior,Business
Ben  Brown,16,3.06,28,Sophmore,Early College
Joe  Brown,14,0.93,51,Sophmore,Construction
Marge  Johnson,18,4.31,40,Senior,Early Child Education
Conner  Davis,17,4.22,31,Victory Lap,Early Child Education
Mark  Davis,19,2.88,26,Sophmore,Early College
Ben  Miller,14,2.45,6,Victory Lap,Early College
Ben  Moore,14,0.54,21,Junior,Business
Timmy  Johnson,17,1.4,27,Victory Lap,Early College
Conner  Jones,17,0.55,15,Freshman,Business
John  Williams,15,4.48,27,Senior,Criminal Justice
Timmy  Moore,19,1.85,50,Sophmore,Criminal Justice
Conner  Brown,19,1.78,29,Sophmore,Marketing
Calvin  Wilson,18,4.49,53,Junior,Business
Timmy  Smith,15,3.54,40,Senior,Marketing
James  Davis,16,2.56,15,Junior,Early College
Calvin  Brown,17,0.99,41,Junior,Early Child Education
Andy  Moore,18,2.6,40,Freshman,Construction
Mark  Davis,16,0.74,26,Freshman,Criminal Justice
John  Williams,16,1.88,16,Victory Lap,Computer Science
Ben  Wilson,16,3.97,58,Sophmore,Criminal Justice
Joe  Wilson,14,2.93,37,Senior,Construction
John  Moore,18,3.08,10,Freshman,Construction
Andy  Miller,16,1.06,59,Senior,Bio Med
Marge  Johnson,19,2.54,16,Sophmore,Early College
Joe  Moore,15,0.45,35,Sophmore,Criminal Justice
John  Jones,17,1.84,44,Sophmore,Early Child Education
John  Jones,16,0.79,13,Junior,Engineering
Marge  Davis,17,1.33,2,Sophmore,Construction
Mark  Brown,18,3.0,48,Freshman,Culinary
Eli  Brown,19,2.44,40,Senior,Early Child Education
Joe  Johnson,19,1.56,48,Victory Lap,Marketing
Calvin  Wilson,19,1.62,38,Senior,Bio Med
Lisa  Jones,16,3.75,10,Freshman,Engineering
Joe  Brown,17,2.17,6,Sophmore,Engineering
Timmy  Jones,16,3.64,26,Junior,Engineering
Calvin  Jones,18,3.83,4,Senior,Early Child Education
John  Rodrigues,18,1.14,35,Senior,Marketing
Joe  Williams,17,3.7,44,Junior,Business
Billy  Davis,17,3.52,1,Senior,Marketing
John  Rodrigues,16,0.33,8,Freshman,Computer Science
Ben  Rodrigues,17,2.69,60,Senior,Construction
Joe  Brown,16,1.45,23,Victory Lap,Marketing
Ben  Wilson,15,0.32,39,Junior,Engineering
Calvin  Williams,16,2.32,5,Freshman,Construction
Marge  Miller,16,1.64,56,Junior,Engineering
Steven  Davis,18,1.51,45,Sophmore,Business
Billy  Brown,19,1.11,1,Junior,Construction
Andy  Wilson,19,1.34,19,Sophmore,Early College
Andy  Wilson,14,4.1,21,Sophmore,Criminal Justice
James  Jones,14,1.75,45,Victory Lap,Engineering
Jimmy  Jones,14,1.01,53,Senior,Early Child Education
Steven  Moore,19,2.93,27,Sophmore,Computer Science
Conner  Jones,16,1.14,11,Senior,Marketing
Joe  Smith,14,3.14,29,Junior,Construction
Steven  Smith,15,0.64,21,Senior,Business
Steven  Jones,15,0.46,44,Senior,Bio Med
Ben  Miller,14,0.41,50,Junior,Culinary
Mark  Williams,15,0.87,40,Senior,Engineering
Calvin  Miller,17,2.57,24,Senior,Marketing
Billy  Brown,16,3.61,49,Freshman,Business
Ben  Davis,17,4.35,29,Junior,Early Child Education
Calvin  Moore,14,2.76,31,Junior,Early College
Joe  Jones,18,0.33,57,Junior,Computer Science
Joe  Williams,17,4.39,38,Senior,Computer Science
Timmy  Jones,18,1.4,46,Junior,Engineering
Andy  Williams,17,3.76,58,Freshman,Computer Science
Billy  Moore,15,3.56,27,Senior,Bio Med
Calvin  Davis,19,1.57,25,Senior,Early Child Education
Timmy  Wilson,18,2.63,59,Victory Lap,Engineering
John  Jones,19,1.19,49,Sophmore,Computer Science
Mark  Moore,17,3.11,36,Junior,Early Child Education
Ben  Rodrigues,18,2.72,4,Senior,Early Child Education
Mark  Rodrigues,16,2.82,6,Senior,Business
Eli  Davis,14,3.35,9,Junior,Early Child Education
Calvin  Williams,14,0.83,34,Senior,Construction
John  Brown,15,0.72,8,Junior,Bio Med
Timmy  Moore,19,2.01,42,Senior,Bio Med
Billy  Miller,16,3.09,43,Freshman,Early College
Timmy  Williams,17,3.91,46,Freshman,Bio Med
John  Jones,18,3.58,27,Victory Lap,Marketing
Conner  Davis,15,2.41,45,Junior,Criminal Justice
Marge  Moore,18,4.45,37,Senior,Early Child Education
Andy  Brown,15,2.96,4,Freshman,Early College
James  Moore,17,0.53,49,Freshman,Engineering
Ben  Moore,18,1.5,32,Sophmore,Early College
Joe  Johnson,19,3.01,10,Junior,Criminal Justice
Joe  Smith,16,3.73,7,Senior,Business
Jimmy  Miller,14,0.6,29,Victory Lap,Bio Med
Billy  Jones,16,3.35,34,Junior,Early College
Marge  Rodrigues,14,3.9,24,Junior,Engineering
Ben  Moore,18,0.39,33,Senior,Construction
Andy  Miller,17,0.69,17,Senior,Construction
Timmy  Miller,15,1.06,53,Victory Lap,Criminal Justice
Conner  Smith,18,2.06,0,Junior,Marketing
Mark  Williams,19,1.58,34,Freshman,Culinary
Timmy  Smith,17,2.18,40,Sophmore,Engineering
Marge  Jones,14,0.53,30,Junior,Culinary
Timmy  Miller,16,3.6,0,Victory Lap,Criminal Justice
Timmy  Miller,16,1.27,39,Freshman,Early College
Marge  Jones,19,4.45,0,Victory Lap,Early College
Steven  Davis,16,3.86,37,Freshman,Computer Science
Calvin  Jones,14,0.99,18,Senior,Bio Med
Marge  Rodrigues,16,0.96,29,Junior,Criminal Justice
Conner  Smith,19,2.26,5,Victory Lap,Criminal Justice
Lisa  Brown,19,0.63,39,Victory Lap,Early Child Education
Billy  Moore,18,2.02,10,Victory Lap,Bio Med
Ben  Miller,19,2.84,23,Sophmore,Criminal Justice
Jimmy  Williams,15,4.42,35,Victory Lap,Engineering
Steven  Johnson,17,2.73,32,Victory Lap,Marketing
Calvin  Moore,15,1.12,40,Senior,Construction
Timmy  Rodrigues,19,2.32,16,Junior,Computer Science
Conner  Johnson,15,1.21,50,Victory Lap,Construction
John  Johnson,18,3.92,46,Victory Lap,Marketing
Ben  Jones,16,2.15,1,Sophmore,Marketing
Calvin  Smith,19,4.15,40,Freshman,Criminal Justice
Ben  Jones,17,4.12,4,Victory Lap,Criminal Justice
Marge  Wilson,19,0.41,20,Senior,Engineering
Jimmy  Brown,18,2.07,55,Senior,Engineering
Marge  Rodrigues,15,0.85,31,Junior,Engineering
Joe  Davis,17,2.88,15,Senior,Culinary
Eli  Smith,19,1.16,14,Junior,Marketing
Jimmy  Rodrigues,14,1.13,29,Junior,Criminal Justice
Steven  Williams,16,1.21,35,Freshman,Early Child Education
Ben  Williams,14,1.57,28,Victory Lap,Marketing
Lisa  Rodrigues,15,3.38,34,Junior,Bio Med
James  Johnson,16,0.83,24,Junior,Engineering
Ben  Jones,14,3.23,19,Victory Lap,Bio Med
James  Jones,16,2.8,43,Victory Lap,Culinary
Mark  Johnson,17,1.3,39,Victory Lap,Computer Science
Steven  Williams,19,2.47,33,Victory Lap,Engineering
Conner  Rodrigues,19,0.93,58,Victory Lap,Bio Med
Ben  Jones,17,2.71,11,Junior,Computer Science
Steven  Brown,19,2.87,28,Senior,Bio Med
Mark  Johnson,16,1.21,42,Sophmore,Culinary
Eli  Davis,19,2.09,24,Senior,Early Child Education
Billy  Smith,14,3.37,30,Junior,Marketing
James  Johnson,15,1.48,41,Senior,Business
Timmy  Brown,18,1.78,24,Victory Lap,Marketing
Marge  Rodrigues,17,3.96,17,Senior,Criminal Justice
Calvin  Miller,14,1.2,49,Senior,Construction
Conner  Johnson,18,1.45,42,Senior,Early College
Calvin  Brown,18,4.41,50,Sophmore,Criminal Justice
Ben  Wilson,19,0.95,31,Senior,Early College
John  Johnson,15,3.07,20,Junior,Computer Science
Timmy  Miller,18,0.8,16,Sophmore,Culinary
Mark  Davis,17,2.57,17,Junior,Engineering
Joe  Wilson,17,2.9,11,Senior,Early College
Marge  Miller,15,2.65,40,Victory Lap,Bio Med
Calvin  Smith,18,3.98,17,Senior,Early Child Education
Timmy  Davis,15,3.46,6,Junior,Criminal Justice
Eli  Johnson,14,3.44,50,Senior,Computer Science
Eli  Moore,14,1.08,25,Sophmore,Business
Conner  Jones,17,4.25,11,Victory Lap,Marketing
Timmy  Jones,15,4.39,39,Junior,Computer Science
Calvin  Moore,19,0.93,41,Sophmore,Marketing
Conner  Smith,18,3.48,27,Senior,Construction
Marge  Jones,15,4.19,37,Junior,Business
Jimmy  Smith,17,1.28,14,Freshman,Early Child Education
Marge  Moore,19,3.52,17,Senior,Criminal Justice
James  Brown,17,4.13,22,Junior,Early Child Education
Lisa  Moore,18,3.8,19,Victory Lap,Early Child Education
Steven  Rodrigues,14,2.9,3,Senior,Business
Jimmy  Miller,15,4.35,46,Junior,Construction
James  Miller,16,1.2,58,Freshman,Engineering
James  Jones,18,1.44,35,Sophmore,Business
Mark  Davis,19,1.35,42,Freshman,Early College
Marge  Davis,16,0.85,31,Sophmore,Computer Science
Jimmy  Rodrigues,19,2.9,47,Victory Lap,Computer Science
Ben  Jones,17,1.55,54,Victory Lap,Culinary
Timmy  Johnson,18,4.0,53,Senior,Marketing
Joe  Rodrigues,15,1.01,37,Sophmore,Early College
Conner  Miller,16,1.33,40,Senior,Bio Med
Steven  Miller,17,4.21,33,Freshman,Bio Med
James  Jones,14,1.68,54,Junior,Construction
Joe  Wilson,15,4.22,7,Freshman,Criminal Justice
Jimmy  Brown,14,3.56,7,Freshman,Criminal Justice
Andy  Davis,15,2.76,0,Senior,Engineering
Steven  Williams,19,3.04,59,Junior,Business
Andy  Jones,19,0.74,30,Senior,Engineering
Mark  Rodrigues,19,1.79,8,Sophmore,Early College
Joe  Smith,17,0.33,8,Victory Lap,Early Child Education
